case_id,tooth_id,total_expected,total_present,min_valid,margin_floor,margin_min,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
010,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
010,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
010,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
010,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
011,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t17,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t21,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t22,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t23,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t24,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t25,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t26,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t27,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
011,t31,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t32,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t33,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t34,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t35,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t36,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t37,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
011,t41,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t42,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t43,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t44,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t45,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t46,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
011,t47,12,0,4,0.5,,,0.25,1.0,True,False,valid;margin_missing
012,t11,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t12,7,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t13,5,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t14,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t15,9,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
012,t16,12,0,6,0.55,,,0.25,1.0,True,False,valid;margin_missing
